,Name,Remote Name,Formula,Comment
336,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_DESVIO_PADRAO],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_DESVIO_PADRAO (copy)_895653424700182597],{ FIXED : STDEVP(( { FIXED [NME_FANTASIA_PRESTADOR] :  ([TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_P1]) } )) } ,// Desvio Padrão 
337,[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_DESVIO_PADRAO],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_DESVIO_PADRAO (copy)_895653424723890292],{ FIXED : STDEVP(( { FIXED [NME_FANTASIA_PRESTADOR] :  ([TEMPO_MEDIO_INTERNACAO_UTI_NEO_P1]) } )) } ,// Desvio Padrão 
338,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_FINAL],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_FINAL (copy)_895653424700182598],IF ATTR([NME_FANTASIA_PRESTADOR]) = 'PRESTADOR'  OR ISNULL(SUM([TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_P1_PRESTADOR])) THEN NULL ELSEIF (SUM([TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_P1_PRESTADOR]) < SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_MEDIANA])) THEN  [DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_NORM_MIN_MAX] * -1 ELSE [DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_NORM_MIN_MAX] END ,// CALCULO FINAL 
339,[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_FINAL],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_FINAL (copy)_895653424723890293],IF ATTR([NME_FANTASIA_PRESTADOR]) = 'PRESTADOR'  OR ISNULL(SUM([TEMPO_MEDIO_INTERNACAO_UTI_NEO_P1_PRESTADOR])) THEN NULL ELSEIF (SUM([TEMPO_MEDIO_INTERNACAO_UTI_NEO_P1_PRESTADOR]) < SUM([DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_MEDIANA])) THEN  [DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_NORM_MIN_MAX] * -1 ELSE [DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_NORM_MIN_MAX] END ,// CALCULO FINAL 
340,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_MAX],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_MAX (copy)_895653424700182599],{ FIXED : MAX (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_SOMA]) } )) } ,// MIN 
341,[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_MAX],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_MAX (copy)_895653424723890294],{ FIXED : MAX (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_SOMA]) } )) } ,// MIN 
342,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_MEDIANA],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_MEDIANA (copy)_895653424700182600],{ FIXED : MEDIAN(( { FIXED [NME_FANTASIA_PRESTADOR] :  ([TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_P1]) } )) } ,// MEDIANA 
343,[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_MEDIANA],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_MEDIANA (copy)_895653424723890295],{ FIXED : MEDIAN(( { FIXED [NME_FANTASIA_PRESTADOR] :  ([TEMPO_MEDIO_INTERNACAO_UTI_NEO_P1]) } )) } ,// MEDIANA 
344,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_MIN],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_MIN (copy)_895653424700182601],{ FIXED : MIN (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_SOMA]) } )) } ,// MIN 
345,[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_MIN],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_MIN (copy)_895653424723890296],{ FIXED : MIN (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_SOMA]) } )) } ,// MIN 
346,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_NORMALIZACAO],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_NORMALIZACAO (copy)_895653424700182602],(SUM([TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_P1_PRESTADOR]) - SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_MEDIANA])) / SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
347,[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_NORMALIZACAO],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_NORMALIZACAO (copy)_895653424723890297],(SUM([TEMPO_MEDIO_INTERNACAO_UTI_NEO_P1_PRESTADOR]) - SUM([DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_MEDIANA])) / SUM([DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
348,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_NORMALIZACAO_GERAL],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_NORMALIZACAO_GERAL (copy)_895653424700182603],(SUM([TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_P1_PRESTADOR]) - SUM([TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_P1_GERAL])) / SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
349,[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_NORMALIZACAO_GERAL],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_NORMALIZACAO_GERAL (copy)_895653424723890298],(SUM([TEMPO_MEDIO_INTERNACAO_UTI_NEO_P1_PRESTADOR]) - SUM([TEMPO_MEDIO_INTERNACAO_UTI_NEO_P1_GERAL])) / SUM([DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
350,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_NORM_MIN_MAX],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_NORM_MIN_MAX  (copy)_895653424700182604], ZN( ([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_SOMA] - SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_MIN]))  /  (SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_MAX]) - SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_MIN])) ) ,// (x - x_minimo) / (x_maximo - x_minimo) 
351,[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_NORM_MIN_MAX],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_NORM_MIN_MAX  (copy)_895653424723890299], ZN( ([DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_SOMA] - SUM([DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_MIN]))  /  (SUM([DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_MAX]) - SUM([DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_MIN])) ) ,// (x - x_minimo) / (x_maximo - x_minimo) 
352,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_SOMA],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_SOMA (copy)_895653424700182605],SUM([DESV_QTD_INTERNACAO_NORMALIZACAO]) + [DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_ADULTO_NORMALIZACAO] ,// SOMA DAS NORMALIZAÇÕES 
353,[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_SOMA],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_ADULTO_SOMA (copy)_895653424723890300],SUM([DESV_QTD_INTERNACAO_NORMALIZACAO]) + [DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_NORMALIZACAO] ,// SOMA DAS NORMALIZAÇÕES 
354,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_DESVIO_PADRAO],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_DESVIO_PADRAO (copy)_895653424914210954],{ FIXED : STDEVP(( { FIXED [NME_FANTASIA_PRESTADOR] :  ([TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_P1]) } )) } ,// Desvio Padrão 
355,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_FINAL],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_FINAL (copy)_895653424914210955],IF ATTR([NME_FANTASIA_PRESTADOR]) = 'PRESTADOR'  OR ISNULL(SUM([TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_P1_PRESTADOR])) THEN NULL ELSEIF (SUM([TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_P1_PRESTADOR]) < SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_MEDIANA])) THEN  [DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_NORM_MIN_MAX] * -1 ELSE [DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_NORM_MIN_MAX] END ,// CALCULO FINAL 
356,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_MAX],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_MAX (copy)_895653424914210956],{ FIXED : MAX (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_SOMA]) } )) } ,// MIN 
357,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_MEDIANA],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_MEDIANA (copy)_895653424914210957],{ FIXED : MEDIAN(( { FIXED [NME_FANTASIA_PRESTADOR] :  ([TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_P1]) } )) } ,// MEDIANA 
358,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_MIN],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_MIN (copy)_895653424914210958],{ FIXED : MIN (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_SOMA]) } )) } ,// MIN 
359,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_NORMALIZACAO],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_NORMALIZACAO (copy)_895653424914210959],(SUM([TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_P1_PRESTADOR]) - SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_MEDIANA])) / SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
360,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_NORMALIZACAO_GERAL],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_NORMALIZACAO_GERAL (copy)_895653424914210960],(SUM([TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_P1_PRESTADOR]) - SUM([TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_P1_GERAL])) / SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
361,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_NORM_MIN_MAX],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_NORM_MIN_MAX (copy)_895653424914210961], ZN( ([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_SOMA] - SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_MIN]))  /  (SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_MAX]) - SUM([DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_MIN])) ) ,// (x - x_minimo) / (x_maximo - x_minimo) 
362,[DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_SOMA],[DESV_TEMPO_MEDIO_INTERNACAO_UTI_NEO_SOMA (copy)_895653424914210962],SUM([DESV_QTD_INTERNACAO_NORMALIZACAO]) + [DESV_TEMPO_MEDIO_UTI_INTERNACAO_UTI_NEO_NORMALIZACAO] ,// SOMA DAS NORMALIZAÇÕES 
363,[DESV_TEMPO_MEDIO_INTERNACAO_DESVIO_PADRAO],[DESV_TT_INTERNACAO_DESVIO_PADRAO (cópia)_637540870406713403],{ FIXED : STDEVP(( { FIXED [NME_FANTASIA_PRESTADOR] :  SUM([QTD_TOTAL_DIAS_INTERNADO_P1]) / SUM([TT_INTERNACAO_P1]) } )) } ,// Desvio Padrão 
364,[DESV_TEMPO_MEDIO_INTERNACAO_MAX],[DESV_TT_INTERNACAO_MAX (cópia)_637540870406713405],{ FIXED : MAX (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TEMPO_MEDIO_INTERNACAO_SOMA]) } )) } ,// MIN 
365,[DESV_TEMPO_MEDIO_INTERNACAO_MEDIANA],[DESV_TT_INTERNACAO_MEDIANA (cópia)_637540870406713406],{ FIXED : MEDIAN(( { FIXED [NME_FANTASIA_PRESTADOR] :  SUM([QTD_TOTAL_DIAS_INTERNADO_P1]) / SUM([TT_INTERNACAO_P1]) } )) } ,// MEDIANA 
366,[DESV_TEMPO_MEDIO_INTERNACAO_MIN],[DESV_TT_INTERNACAO_MIN (cópia)_637540870406713407],{ FIXED : MIN (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TEMPO_MEDIO_INTERNACAO_SOMA]) } )) } ,// MIN 
367,[DESV_TEMPO_MEDIO_INTERNACAO_NORMALIZACAO],[DESV_TT_INTERNACAO_NORMALIZACAO (cópia)_637540870406713408], (SUM([TEMPO_MEDIO_INTERNACAO_P1_PRESTADOR]) - SUM([DESV_TEMPO_MEDIO_INTERNACAO_MEDIANA])) / SUM([DESV_TEMPO_MEDIO_INTERNACAO_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
368,[DESV_TEMPO_MEDIO_INTERNACAO_NORM_MIN_MAX],[DESV_TT_INTERNACAO_NORM_MIN_MAX (cópia)_637540870406713409], ZN( ([DESV_TEMPO_MEDIO_INTERNACAO_SOMA] - SUM([DESV_TEMPO_MEDIO_INTERNACAO_MIN]))  /  (SUM([DESV_TEMPO_MEDIO_INTERNACAO_MAX]) - SUM([DESV_TEMPO_MEDIO_INTERNACAO_MIN])) ) ,// (x - x_minimo) / (x_maximo - x_minimo) 
369,[DESV_TEMPO_MEDIO_INTERNACAO_SOMA],[DESV_TT_INTERNACAO_SOMA (cópia)_637540870406713410],SUM([DESV_QTD_INTERNACAO_NORMALIZACAO]) + [DESV_TEMPO_MEDIO_INTERNACAO_NORMALIZACAO] ,// SOMA DAS NORMALIZAÇÕES 
370,[DESV_SINISTRO_DESVIO_PADRAO],[DESV_TX_INTERNACAO_UTI_DESVIO_PADRAO (copy)_597008454578438161],{ FIXED : STDEVP(( { FIXED [NME_FANTASIA_PRESTADOR] :  SUM([SINISTRO_P1]) } )) } ,// Desvio Padrão 
371,[DESV_SINISTRO_FINAL],[DESV_TX_INTERNACAO_UTI_FINAL (copy)_597008454578438168],IF ATTR([NME_FANTASIA_PRESTADOR]) = 'PRESTADOR'  OR ISNULL(SUM([SINISTRO_P1_PRESTADOR])) THEN NULL ELSEIF (SUM([SINISTRO_P1_PRESTADOR]) < SUM([DESV_SINISTRO_MEDIANA])) THEN  [DESV_SINISTRO_NORM_MIN_MAX] * -1 ELSE [DESV_SINISTRO_NORM_MIN_MAX] END ,// CALCULO FINAL 
372,[DESV_SINISTRO_MAX],[DESV_TX_INTERNACAO_UTI_MAX (copy)_597008454578438164],{ FIXED : MAX (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_SINISTRO_SOMA]) } )) } ,// MIN 
373,[DESV_SINISTRO_MEDIANA],[DESV_TX_INTERNACAO_UTI_MEDIANA (copy)_597008454578438163],{ FIXED : MEDIAN(( { FIXED [NME_FANTASIA_PRESTADOR] :  SUM([SINISTRO_P1]) } )) } ,// MEDIANA 
374,[DESV_SINISTRO_MIN],[DESV_TX_INTERNACAO_UTI_MIN (copy)_597008454578438166],{ FIXED : MIN (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_SINISTRO_SOMA]) } )) } ,// MIN 
375,[DESV_SINISTRO_NORMALIZACAO],[DESV_TX_INTERNACAO_UTI_NORMALIZACAO (copy)_597008454578438162],(SUM([SINISTRO_P1_PRESTADOR]) - SUM([DESV_SINISTRO_MEDIANA])) / SUM([DESV_SINISTRO_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
376,[DESV_SINISTRO_NORM_MIN_MAX],[DESV_TX_INTERNACAO_UTI_NORM_MIN_MAX (copy)_597008454578438167], ZN( ([DESV_SINISTRO_SOMA] - SUM([DESV_SINISTRO_MIN]))  /  (SUM([DESV_SINISTRO_MAX]) - SUM([DESV_SINISTRO_MIN])) ) ,// (x - x_minimo) / (x_maximo - x_minimo) 
377,[DESV_SINISTRO_SOMA],[DESV_TX_INTERNACAO_UTI_SOMA (copy)_597008454578438165],SUM([DESV_QTD_INTERNACAO_NORMALIZACAO]) + [DESV_SINISTRO_NORMALIZACAO] ,// SOMA DAS NORMALIZAÇÕES 
378,[DESV_TX_PARTO_GEMELAR_DESVIO_PADRAO],[DESV_TX_PARTO_CESAREA_DESVIO_PADRAO (cópia)_637540870433001598],{ FIXED : STDEVP(( { FIXED [NME_FANTASIA_PRESTADOR] :  SUM([TT_PARTO_GEMELAR_P1]) / SUM([TT_INTERNACAO_P1]) } )) } ,// Desvio Padrão 
379,[DESV_TX_PARTO_GEMELAR_FINAL],[DESV_TX_PARTO_CESAREA_FINAL (cópia)_637540870433001599],IF ATTR([NME_FANTASIA_PRESTADOR]) = 'PRESTADOR'      OR ISNULL(SUM([TX_PARTO_GEMELAR_P1_PRESTADOR])) THEN NULL ELSEIF (SUM([TX_PARTO_GEMELAR_P1_PRESTADOR]) < SUM([DESV_TX_PARTO_GEMELAR_MEDIANA])) THEN  [DESV_TX_PARTO_GEMELAR_NORM_MIN_MAX] * -1 ELSE [DESV_TX_PARTO_GEMELAR_NORM_MIN_MAX] END ,// CALCULO FINAL 
380,[DESV_TX_PARTO_GEMELAR_MAX],[DESV_TX_PARTO_CESAREA_MAX (cópia)_637540870433001600],{ FIXED : MAX (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TX_PARTO_GEMELAR_SOMA]) } )) } ,// MIN 
381,[DESV_TX_PARTO_GEMELAR_MEDIANA],[DESV_TX_PARTO_CESAREA_MEDIANA (cópia)_637540870433001601],{ FIXED : MEDIAN(( { FIXED [NME_FANTASIA_PRESTADOR] :  SUM([TT_PARTO_GEMELAR_P1]) / SUM([TT_INTERNACAO_P1]) } )) } ,// MEDIANA 
382,[DESV_TX_PARTO_GEMELAR_MIN],[DESV_TX_PARTO_CESAREA_MIN (cópia)_637540870433001602],{ FIXED : MIN (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TX_PARTO_GEMELAR_SOMA]) } )) } ,// MIN 
383,[DESV_TX_PARTO_CESAREA_NORMALIZACAO_GERAL],[DESV_TX_PARTO_CESAREA_NORMALIZACAO (copy)_847802685644087305], (SUM([TX_PARTO_CESAREA_P1_PRESTADOR]) - SUM([TX_PARTO_CESAREA_P1_GERAL])) / SUM([DESV_TX_PARTO_CESAREA_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
384,[DESV_TX_PARTO_GEMELAR_NORMALIZACAO],[DESV_TX_PARTO_CESAREA_NORMALIZACAO (cópia)_637540870433001603], (SUM([TX_PARTO_GEMELAR_P1_PRESTADOR]) - SUM([DESV_TX_PARTO_GEMELAR_MEDIANA])) / SUM([DESV_TX_PARTO_GEMELAR_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
385,[DESV_TX_PARTO_GEMELAR_NORM_MIN_MAX],[DESV_TX_PARTO_CESAREA_NORM_MIN_MAX (cópia)_637540870433001604], ZN( ([DESV_TX_PARTO_GEMELAR_SOMA] - SUM([DESV_TX_PARTO_GEMELAR_MIN]))  /  (SUM([DESV_TX_PARTO_GEMELAR_MAX]) - SUM([DESV_TX_PARTO_GEMELAR_MIN])) ) ,// (x - x_minimo) / (x_maximo - x_minimo) 
386,[DESV_TX_PARTO_GEMELAR_SOMA],[DESV_TX_PARTO_CESAREA_SOMA (cópia)_637540870433001605],SUM([DESV_QTD_INTERNACAO_NORMALIZACAO]) + [DESV_TX_PARTO_GEMELAR_NORMALIZACAO] ,// SOMA DAS NORMALIZAÇÕES 
387,[DESV_TX_PARTO_INTERC_DESVIO_PADRAO],[DESV_TX_PARTO_GEMELAR_DESVIO_PADRAO (cópia)_637540870438133906],{ FIXED : STDEVP(( { FIXED [NME_FANTASIA_PRESTADOR] :  SUM([TT_PARTO_INTERC_P1]) / SUM([TT_INTERNACAO_P1]) } )) } ,// Desvio Padrão 
388,[DESV_TX_PARTO_INTERC_FINAL],[DESV_TX_PARTO_GEMELAR_FINAL (cópia)_637540870438133907],IF ATTR([NME_FANTASIA_PRESTADOR]) = 'PRESTADOR'      OR ISNULL(SUM([TX_PARTO_INTERC_P1_PRESTADOR])) THEN NULL ELSEIF (SUM([TX_PARTO_INTERC_P1_PRESTADOR]) < SUM([DESV_TX_PARTO_INTERC_MEDIANA])) THEN  [DESV_TX_PARTO_INTERC_NORM_MIN_MAX] * -1 ELSE [DESV_TX_PARTO_INTERC_NORM_MIN_MAX] END ,// CALCULO FINAL 
389,[DESV_TX_PARTO_INTERC_MAX],[DESV_TX_PARTO_GEMELAR_MAX (cópia)_637540870438133908],{ FIXED : MAX (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TX_PARTO_INTERC_SOMA]) } )) } ,// MIN 
390,[DESV_TX_PARTO_INTERC_MEDIANA],[DESV_TX_PARTO_GEMELAR_MEDIANA (cópia)_637540870438133909],{ FIXED : MEDIAN(( { FIXED [NME_FANTASIA_PRESTADOR] :  SUM([TT_PARTO_INTERC_P1]) / SUM([TT_INTERNACAO_P1]) } )) } ,// MEDIANA 
391,[DESV_TX_PARTO_INTERC_MIN],[DESV_TX_PARTO_GEMELAR_MIN (cópia)_637540870438133910],{ FIXED : MIN (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TX_PARTO_INTERC_SOMA]) } )) } ,// MIN 
392,[DESV_TX_PARTO_GEMELAR_NORMALIZACAO_GERAL],[DESV_TX_PARTO_GEMELAR_NORMALIZACAO (copy)_847802685645082635], (SUM([TX_PARTO_GEMELAR_P1_PRESTADOR]) - SUM([TX_PARTO_GEMELAR_P1_GERAL])) / SUM([DESV_TX_PARTO_GEMELAR_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
393,[DESV_TX_PARTO_INTERC_NORMALIZACAO],[DESV_TX_PARTO_GEMELAR_NORMALIZACAO (cópia)_637540870438133911], (SUM([TX_PARTO_INTERC_P1_PRESTADOR]) - SUM([DESV_TX_PARTO_INTERC_MEDIANA])) / SUM([DESV_TX_PARTO_INTERC_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
394,[DESV_TX_PARTO_INTERC_NORM_MIN_MAX],[DESV_TX_PARTO_GEMELAR_NORM_MIN_MAX (cópia)_637540870438133912], ZN( ([DESV_TX_PARTO_INTERC_SOMA] - SUM([DESV_TX_PARTO_INTERC_MIN]))  /  (SUM([DESV_TX_PARTO_INTERC_MAX]) - SUM([DESV_TX_PARTO_INTERC_MIN])) ) ,// (x - x_minimo) / (x_maximo - x_minimo) 
395,[DESV_TX_PARTO_INTERC_SOMA],[DESV_TX_PARTO_GEMELAR_SOMA (cópia)_637540870438133913],SUM([DESV_QTD_INTERNACAO_NORMALIZACAO]) + [DESV_TX_PARTO_INTERC_NORMALIZACAO] ,// SOMA DAS NORMALIZAÇÕES 
396,[DESV_TX_PARTO_PS_DESVIO_PADRAO],[DESV_TX_PARTO_INTERC_DESVIO_PADRAO (cópia)_637540870443004070],{ FIXED : STDEVP(( { FIXED [NME_FANTASIA_PRESTADOR] :  SUM([TT_PARTO_PS_P1]) / SUM([TT_INTERNACAO_P1]) } )) } ,// Desvio Padrão 
397,[DESV_TX_PARTO_PS_FINAL],[DESV_TX_PARTO_INTERC_FINAL (cópia)_637540870443004071],IF ATTR([NME_FANTASIA_PRESTADOR]) = 'PRESTADOR'      OR ISNULL(SUM([TX_PARTO_PS_P1_PRESTADOR])) THEN NULL ELSEIF (SUM([TX_PARTO_PS_P1_PRESTADOR]) < SUM([DESV_TX_PARTO_PS_MEDIANA])) THEN  [DESV_TX_PARTO_PS_NORM_MIN_MAX] * -1 ELSE [DESV_TX_PARTO_PS_NORM_MIN_MAX] END ,// CALCULO FINAL 
398,[DESV_TX_PARTO_PS_MAX],[DESV_TX_PARTO_INTERC_MAX (cópia)_637540870443004072],{ FIXED : MAX (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TX_PARTO_PS_SOMA]) } )) } ,// MIN 
399,[DESV_TX_PARTO_PS_MEDIANA],[DESV_TX_PARTO_INTERC_MEDIANA (cópia)_637540870443004073],{ FIXED : MEDIAN(( { FIXED [NME_FANTASIA_PRESTADOR] :  SUM([TT_PARTO_PS_P1]) / SUM([TT_INTERNACAO_P1]) } )) } ,// MEDIANA 
400,[DESV_TX_PARTO_PS_MIN],[DESV_TX_PARTO_INTERC_MIN (cópia)_637540870443004074],{ FIXED : MIN (( { FIXED [NME_FANTASIA_PRESTADOR]:  ([DESV_TX_PARTO_PS_SOMA]) } )) } ,// MIN 
401,[DESV_TX_PARTO_INTERC_NORMALIZACAO_GERAL],[DESV_TX_PARTO_INTERC_NORMALIZACAO (copy)_847802685646315533], (SUM([TX_PARTO_INTERC_P1_PRESTADOR]) - SUM([TX_PARTO_INTERC_P1_GERAL])) / SUM([DESV_TX_PARTO_INTERC_DESVIO_PADRAO]) ,// (INDICADOR - MEDIANA) / DESVIO PADRÃO 
